C00022	-0.98
C00041	0.28
C00213	-3.80
C00186	0.59
C00116	1.91
C01026	-3.32
C00334	1.03
C01089	-1.60
C00065	-0.35
C00519	-3.25
C00106	0.47
C00791	0.67
C00148	-1.57
C00581	-2.89
C00719	-1.06
C00188	-1.32
C00263	-1.73
C07182	0.14
C00153	2.10
C00245	-0.37
C01879	1.33
C00408	-1.44
C00233	-1.66
C02714	-5.35
C01157	-4.28
C00123	-0.73
C00407	-0.71
C00152	-1.18
C00077	-2.81
C00049	0.60
C00262	0.79
C00064	0.29
C00047	-0.68
C00025	1.32
C00979	-0.29
C00073	-0.41
C00242	0.10
C00385	1.33
C00295	-0.46
C01551	-2.96
C00956	2.22
C00318	0.83
C02989	-0.18
C00079	0.90
C00074	-1.42
C00366	2.86
C01152	-1.11
C00111	0.29
C00093	0.98
C03771	-0.77
C00062	0.50
C00327	-2.89
C00072	-0.27
C00082	-1.00
C03964	-0.27
C00597	-2.43
C00158	0.11
C00257	-2.09
C03626	-1.90
C00078	-0.48
C00328	0.74
C02305	-1.06
C02291	-3.21
C00386	3.16
C00881	-2.43
C00199	2.08
C00214	-0.27
C00475	-0.59
C00299	0.88
C00670	1.52
C00103	0.09
C00092	0.67
C00378	1.09
C00212	4.75
C00294	1.69
C00345	0.96
C00387	2.08
C05382	-1.22
C03406	0.33
C00777	0.97
C00051	0.38
C00364	-1.01
C00055	-1.33
C00105	-1.53
C00354	-3.05
C00020	0.63
C00130	-0.71
C00144	0.26
C00255	0.20
C00021	0.59
C00019	-1.16
C00363	-1.04
C00112	0.64
C02477	0.67
C00035	-0.17
C00570	0.67
C00063	-2.44
C00307	1.55
C00002	-0.96
C05122	-2.27
C00044	-0.63
C00029	-0.30
C00043	-0.70
C00127	0.71
C00005	-1.33
C00010	1.15
C00016	1.33
C00114	0.47
D02308	0.92
C15526	2.08
C02835	-4.83
C00300	0.25
C00711	0.86
C01620	0.04
C05828	1.21
C00346	-0.57
C01087	0.30
C00532	-0.54
C00606	-0.44
C10129	0.01
C01601	-0.65
C07471	-1.42
C02242	-2.88
C00417	0.57
C01042	1.84
D02780	-1.45
D00062	-0.60
C03793	0.08
C02712	0.52
C08038	-3.42
C03017	-1.12
C06424	-1.38
C00620	2.94
C02067	-2.36
C08031	0.01
C05282	3.11
C08315	-1.85
C01595	0.50
C19670	-0.08
C01530	0.65
C00170	-1.01
C12270	-0.80
C00219	2.40
C03242	0.08
C16525	0.29
C19909	1.09
C06429	0.92
C16513	-0.32
C16527	0.91
C01083	0.35
C00015	-2.59
C00008	-0.56
C00167	-1.28
C00096	1.50
