Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT"
A011_HILIC,Uracil,112.0273,5.63,0.1,-0.1,-0.3,0.3,0.4,0.1,0.5,0.8,0.3,1.000,1.000,1.000,0.805,0.124,1.000,0.252,0.008,0.838,1.0E+08,1.2E+08,9.9E+07,8.5E+07,1.0E+08,1.7E+08,1.2E+08,9.0E+07,9.9E+07,8.9E+07,6.8E+07,7.0E+07,9.1E+07,7.3E+07,7.2E+07,8.1E+07,7.3E+07,6.4E+07,8.2E+07,6.5E+07,8.1E+07,5.7E+07,4.9E+07,6.3E+07,8.7E+05,3.3E+06,8.8E+06,3.9E+05,6.2E+05,5.7E+05,2.3E+06,5.8,21.3,10.8,18.0,33.5,7.1
A012_HILIC,L-Creatinine,113.0590,7.62,-0.1,-0.1,-0.3,0.6,0.1,-0.5,0.7,0.4,-0.3,1.000,1.000,1.000,0.015,1.000,0.041,0.008,0.259,0.559,1.1E+09,1.4E+09,1.2E+09,9.2E+08,1.2E+09,1.1E+09,1.1E+09,1.0E+09,8.0E+08,7.0E+08,6.6E+08,6.1E+08,6.4E+08,6.3E+08,7.8E+08,7.4E+08,1.1E+09,1.1E+09,1.3E+09,8.8E+08,9.5E+08,7.9E+08,9.3E+08,6.6E+08,9.1E+06,1.2E+07,4.4E+06,4.5E+06,2.2E+06,2.7E+07,3.2E+06,20.9,17.5,9.1,11.5,20.1,7.7
A013_HILIC,L-Proline,115.0633,11.97,0.2,0.8,0.2,-1.0,-1.6,-0.6,-1.6,-1.6,-0.1,1.000,0.562,1.000,0.000,0.000,0.091,0.000,0.000,1.000,4.5E+09,6.9E+09,4.8E+09,4.4E+09,4.9E+09,6.0E+09,4.5E+09,4.8E+09,1.4E+10,1.8E+10,9.2E+09,1.6E+10,9.4E+09,1.5E+10,8.2E+09,1.6E+10,1.2E+10,1.3E+10,1.7E+10,1.6E+10,1.4E+10,1.7E+10,1.5E+10,1.9E+10,4.6E+06,3.2E+06,8.1E+05,3.6E+06,1.9E+06,5.9E+06,4.5E+06,16.8,12.3,7.9,25.0,20.8,4.8
A014_HILIC,Guanidineacetic acid,117.0539,16.22,0.1,0.8,0.3,-2.2,1.0,3.2,-2.9,0.7,3.6,1.000,1.000,1.000,0.000,0.012,0.000,0.000,0.233,0.000,1.5E+08,1.7E+08,1.6E+08,1.5E+08,1.5E+08,1.2E+08,1.5E+08,1.6E+08,8.0E+08,1.3E+09,5.9E+08,1.0E+09,1.3E+09,1.7E+09,5.9E+08,8.9E+08,6.5E+07,8.5E+07,9.7E+07,8.6E+07,8.2E+07,1.2E+08,7.3E+07,1.1E+08,2.3E+05,2.7E+05,4.9E+05,3.1E+05,3.0E+05,2.7E+05,2.3E+05,18.1,17.0,29.9,39.3,14.0,1.9
A015_HILIC,Betaine,117.0790,9.92,0.2,-0.4,-0.2,-1.7,-3.1,-1.5,-1.1,-2.8,-1.7,1.000,1.000,1.000,0.000,0.000,0.001,0.006,0.000,0.000,2.9E+09,5.4E+09,3.6E+09,2.6E+09,3.2E+09,3.9E+09,2.5E+09,3.0E+09,8.5E+09,6.7E+09,1.1E+10,7.8E+09,7.6E+09,6.0E+09,1.3E+10,1.2E+10,3.2E+10,2.9E+10,2.8E+10,2.3E+10,2.4E+10,2.2E+10,2.5E+10,2.4E+10,1.3E+08,1.5E+08,4.7E+07,5.7E+07,1.5E+08,1.7E+08,1.6E+08,12.1,13.0,33.9,24.4,33.5,15.0
A016_HILIC,L-(-)-Threonine,119.0583,14.09,0.2,0.7,-0.1,-0.8,-3.0,-2.2,-1.3,-2.6,-1.3,1.000,0.138,1.000,0.000,0.000,0.000,0.000,0.000,0.000,6.8E+08,7.9E+08,6.2E+08,6.8E+08,5.1E+08,6.7E+08,6.3E+08,8.6E+08,1.3E+09,2.2E+09,1.1E+09,1.6E+09,1.0E+09,1.8E+09,1.1E+09,1.9E+09,5.2E+09,4.6E+09,4.8E+09,4.4E+09,5.3E+09,5.3E+09,4.2E+09,4.2E+09,3.6E+06,3.3E+06,1.6E+06,4.9E+06,4.6E+06,5.2E+06,3.3E+06,10.1,10.1,13.6,11.0,12.1,12.0
A017_HILIC,L-Homoserine,119.0583,15.29,0.2,0.4,0.0,-1.5,-1.3,0.2,-1.7,-1.1,0.6,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.022,3.2E+07,4.5E+07,3.3E+07,3.9E+07,3.2E+07,3.5E+07,3.3E+07,3.2E+07,6.4E+07,1.2E+08,9.8E+07,1.3E+08,9.9E+07,1.4E+08,9.1E+07,1.1E+08,7.9E+07,7.5E+07,1.0E+08,1.0E+08,7.4E+07,7.9E+07,8.3E+07,8.5E+07,1.5E+06,1.6E+05,3.6E+05,2.1E+06,2.2E+05,2.2E+05,2.6E+05,13.0,14.8,9.0,18.7,14.8,1.6
A018_HILIC,Tris(hydroxymethyl)aminomethane,121.0740,14.43,0.3,0.1,0.8,-0.1,-3.5,-3.4,0.1,-4.1,-4.2,1.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,9.4E+06,1.6E+07,7.6E+06,9.4E+06,5.9E+06,9.7E+06,9.4E+06,1.1E+07,9.6E+06,8.9E+06,6.9E+06,9.3E+06,8.9E+06,9.1E+06,8.9E+06,2.1E+07,1.0E+08,3.4E+08,7.9E+07,2.3E+08,9.0E+07,5.8E+07,2.9E+08,1.1E+08,3.4E+05,2.5E+05,3.0E+05,4.0E+05,3.2E+06,2.8E+06,2.4E+05,68.9,72.0,49.7,13.9,27.4,20.7
A019_HILIC,Nicotinamide,122.0480,4.05,0.1,0.1,-0.1,2.1,2.9,0.9,2.1,3.2,1.1,1.000,1.000,1.000,0.217,0.003,0.549,0.015,0.000,0.792,4.0E+09,7.1E+09,4.0E+09,3.3E+09,4.5E+09,4.6E+09,7.9E+08,4.3E+09,1.8E+09,7.6E+08,9.7E+08,6.3E+08,5.7E+08,1.3E+09,9.7E+08,1.5E+09,2.5E+08,3.8E+08,5.8E+08,4.0E+08,6.7E+08,8.6E+08,4.7E+08,5.8E+08,5.4E+06,1.9E+07,1.4E+07,1.6E+07,1.8E+07,1.4E+07,5.8E+06,40.3,36.8,40.1,47.6,33.4,51.5
A020_HILIC,Taurine,125.0147,13.95,-0.1,-0.2,-0.4,-0.5,-0.5,0.0,-0.4,-0.2,0.2,1.000,1.000,1.000,0.031,0.010,1.000,0.206,0.907,1.000,2.4E+10,3.0E+10,2.5E+10,2.4E+10,2.6E+10,2.0E+10,2.4E+10,2.3E+10,3.7E+10,3.2E+10,3.4E+10,2.7E+10,3.0E+10,2.9E+10,3.5E+10,3.5E+10,3.6E+10,3.3E+10,3.8E+10,2.5E+10,3.2E+10,2.4E+10,3.4E+10,2.7E+10,2.3E+06,1.6E+06,2.2E+06,2.0E+06,1.7E+06,2.1E+06,1.9E+06,14.1,6.8,12.0,8.2,18.4,4.0
