Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT"
B153_HILIC,Acetylarginine,216.1223,15.41,-0.2,0.4,0.2,1.8,-0.2,-2.1,1.3,-0.6,-1.8,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.068,0.000,2.8E+08,2.8E+08,2.8E+08,2.1E+08,3.2E+08,3.7E+08,2.8E+08,2.3E+08,9.1E+07,1.2E+08,7.4E+07,9.3E+07,6.7E+07,9.2E+07,8.4E+07,1.1E+08,3.6E+08,4.0E+08,3.4E+08,3.4E+08,3.1E+08,4.7E+08,2.7E+08,3.4E+08,1.8E+05,1.8E+05,1.9E+05,1.8E+05,1.8E+05,1.6E+05,1.8E+05,15.7,13.0,13.7,13.5,26.2,6.1
B154_HILIC,Propionylcarnitine,217.1315,9.13,-0.3,0.1,-0.4,-0.7,-3.2,-2.5,-1.1,-3.1,-2.0,1.000,1.000,1.000,0.197,0.000,0.000,0.017,0.000,0.000,1.7E+08,1.5E+08,1.5E+08,1.0E+08,1.3E+08,1.5E+08,1.9E+08,1.2E+08,4.0E+08,6.7E+08,2.6E+08,2.5E+08,2.6E+08,1.7E+08,2.5E+08,3.2E+08,2.0E+09,1.5E+09,1.5E+09,9.8E+08,1.4E+09,1.2E+09,1.5E+09,1.1E+09,2.9E+05,3.5E+05,3.6E+05,4.9E+05,3.1E+05,5.7E+05,4.5E+05,19.3,15.4,62.0,23.6,19.2,18.1
B155_HILIC,Myristic acid,228.2089,2.17,0.5,0.0,0.0,-1.9,-0.7,1.2,-1.4,-0.2,1.2,1.000,1.000,1.000,0.000,0.012,0.000,0.000,0.888,0.000,9.5E+07,1.7E+08,1.3E+08,1.2E+08,9.0E+07,1.5E+08,9.9E+07,1.0E+08,3.7E+08,3.9E+08,3.5E+08,3.1E+08,3.4E+08,3.3E+08,3.6E+08,3.7E+08,1.6E+08,1.5E+08,1.3E+08,1.5E+08,1.6E+08,1.6E+08,1.9E+08,1.5E+08,2.3E+07,2.4E+07,2.2E+07,2.3E+07,2.4E+07,2.2E+07,2.3E+07,3.7,15.8,10.0,3.9,24.0,16.0
B156_HILIC,L-Ergothioneine,229.0886,14.65,0.1,0.3,-0.2,-1.1,-1.3,-0.3,-1.3,-1.1,0.3,1.000,1.000,1.000,0.003,0.001,1.000,0.001,0.002,1.000,4.9E+07,6.4E+07,6.1E+07,4.8E+07,5.1E+07,5.5E+07,4.7E+07,5.4E+07,1.2E+08,1.6E+08,9.0E+07,1.0E+08,9.7E+07,1.1E+08,1.9E+08,1.9E+08,1.6E+08,1.6E+08,1.3E+08,1.1E+08,1.2E+08,1.2E+08,1.0E+08,1.1E+08,6.8E+05,1.8E+06,8.7E+05,4.8E+05,5.2E+05,6.0E+05,5.1E+05,20.4,17.3,30.4,36.6,11.6,12.3
B157_HILIC,D-Ribose-1-phosphate,230.0191,16.24,0.2,0.6,0.3,3.4,7.9,4.5,2.9,7.7,4.8,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.4E+08,2.9E+08,2.5E+08,2.3E+08,2.5E+08,2.9E+08,2.6E+08,2.7E+08,4.4E+07,3.8E+07,2.0E+07,3.5E+07,2.6E+07,5.4E+07,2.3E+07,2.4E+07,8.7E+05,1.2E+06,1.1E+06,1.1E+06,2.1E+06,2.5E+06,1.1E+06,1.5E+06,7.5E+04,1.9E+05,1.4E+05,1.4E+05,9.9E+04,6.9E+04,6.2E+04,41.7,44.1,32.4,38.6,9.4,3.5
B158_HILIC,Pseudouridine,244.0694,11.13,-0.2,0.1,-0.1,-2.1,-1.6,0.5,-2.4,-1.6,0.7,1.000,1.000,1.000,0.000,0.000,0.329,0.000,0.000,0.059,2.3E+07,3.4E+07,2.4E+07,1.8E+07,2.9E+07,2.2E+07,2.3E+07,1.8E+07,1.1E+08,1.1E+08,8.8E+07,9.3E+07,8.9E+07,9.3E+07,1.1E+08,1.2E+08,7.3E+07,7.7E+07,9.2E+07,6.1E+07,6.5E+07,6.4E+07,4.6E+07,4.1E+07,2.8E+05,2.1E+05,3.4E+05,3.0E+05,9.5E+04,4.3E+05,3.4E+05,24.3,28.1,12.0,13.0,33.1,11.7
B159_HILIC,Dodecyl sulfate,266.1551,1.99,0.8,-0.4,0.3,-1.1,-2.4,-1.2,0.0,-1.9,-1.9,0.526,1.000,1.000,0.012,0.000,0.005,1.000,0.000,0.000,2.2E+07,6.7E+07,1.6E+07,3.2E+07,1.3E+07,3.2E+07,2.1E+07,2.6E+07,4.7E+07,3.5E+07,3.4E+07,2.5E+07,2.9E+07,2.7E+07,4.9E+07,3.9E+07,9.2E+07,1.0E+08,9.7E+07,1.2E+08,1.1E+08,1.1E+08,7.9E+07,1.3E+08,1.2E+06,1.4E+06,1.2E+06,1.2E+06,1.6E+06,1.7E+06,1.6E+06,10.6,14.3,21.7,25.0,47.7,24.3
B160_HILIC,Υ-L-Glutamyl-L-glutamic acid,276.0960,18.63,0.0,-0.2,0.0,3.0,2.5,-0.4,3.1,2.5,-0.7,1.000,1.000,1.000,0.000,0.000,0.677,0.000,0.000,0.692,2.4E+08,2.8E+08,2.9E+08,2.0E+08,2.7E+08,4.5E+08,4.6E+08,2.7E+08,1.6E+07,3.1E+07,3.4E+07,3.3E+07,3.8E+07,1.9E+07,4.5E+07,5.7E+07,4.7E+07,4.3E+07,5.1E+07,3.5E+07,4.3E+07,9.3E+07,7.0E+07,5.7E+07,2.2E+05,1.8E+05,1.9E+05,1.8E+05,1.9E+05,1.7E+05,1.5E+05,45.1,22.7,46.3,36.7,35.3,31.8
B161_HILIC,α-Eleostearic acid,278.2244,2.15,0.5,0.0,0.0,-2.3,0.0,2.3,-1.9,0.5,2.4,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.387,0.000,1.3E+07,2.0E+07,1.6E+07,2.1E+07,1.4E+07,1.9E+07,1.4E+07,1.4E+07,8.9E+07,8.8E+07,6.7E+07,6.5E+07,5.3E+07,5.9E+07,7.0E+07,7.5E+07,1.3E+07,1.4E+07,1.4E+07,1.2E+07,1.4E+07,1.9E+07,1.4E+07,1.3E+07,2.7E+05,4.3E+05,1.3E+05,2.4E+05,3.1E+05,1.4E+05,2.9E+05,22.8,3.8,18.1,21.0,15.2,11.0
B162_HILIC,Linoleic acid,280.2401,2.17,0.3,0.3,-0.1,0.5,1.8,1.3,0.5,2.2,1.7,1.000,1.000,1.000,0.475,0.203,1.000,1.000,0.085,0.301,3.1E+08,5.1E+08,3.5E+08,4.0E+08,3.4E+08,4.6E+08,3.8E+08,3.8E+08,1.2E+07,4.1E+08,2.7E+08,2.8E+08,2.4E+08,3.1E+08,2.6E+08,3.0E+08,9.5E+07,9.6E+07,8.8E+07,7.1E+07,1.0E+08,1.4E+08,1.1E+08,9.5E+07,1.9E+06,3.1E+06,1.6E+06,2.2E+06,3.8E+06,1.7E+06,1.8E+06,30.3,10.1,17.4,63.1,13.2,8.2
B163_HILIC,Oleamide,281.2720,2.65,0.4,0.1,0.0,-0.4,-1.4,-1.0,-0.1,-1.1,-1.0,1.000,1.000,1.000,1.000,0.000,0.002,1.000,0.008,0.007,9.4E+07,2.0E+08,7.7E+07,8.6E+07,7.3E+07,1.0E+08,8.0E+07,1.1E+08,1.2E+08,1.4E+08,1.0E+08,9.8E+07,8.0E+07,1.1E+08,1.1E+08,1.1E+08,2.2E+08,1.9E+08,2.0E+08,2.0E+08,2.5E+08,2.4E+08,1.9E+08,2.5E+08,6.5E+05,1.4E+06,6.7E+05,4.6E+05,1.1E+06,9.9E+05,4.9E+05,13.6,10.8,14.7,15.8,43.8,11.5
B164_HILIC,Stearic acid,284.2714,2.14,1.2,0.6,0.4,0.0,-0.7,-0.7,0.7,0.2,-0.5,0.259,1.000,1.000,1.000,0.421,0.647,0.154,0.997,0.776,1.3E+09,4.7E+09,1.5E+09,3.1E+09,1.0E+09,3.2E+09,1.7E+09,2.7E+09,1.8E+09,2.7E+09,1.3E+09,1.7E+09,1.2E+09,1.3E+09,1.5E+09,2.4E+09,2.5E+09,1.9E+09,1.3E+09,2.9E+09,1.9E+09,2.8E+09,2.6E+09,3.2E+09,1.5E+08,1.4E+08,1.4E+08,1.2E+08,1.2E+08,1.2E+08,1.2E+08,19.7,28.5,32.0,17.8,25.8,20.3
B165_HILIC,Orotidine,288.0593,10.37,-0.1,-0.3,-0.4,-2.1,-2.8,-0.7,-1.9,-2.5,-0.6,1.000,1.000,1.000,0.000,0.000,0.001,0.000,0.000,0.002,2.0E+07,2.2E+07,2.0E+07,1.6E+07,2.0E+07,2.0E+07,1.7E+07,1.6E+07,9.5E+07,7.2E+07,8.9E+07,6.8E+07,6.8E+07,5.7E+07,8.4E+07,8.0E+07,1.4E+08,1.3E+08,1.5E+08,1.1E+08,1.3E+08,1.0E+08,1.3E+08,1.1E+08,6.7E+04,2.1E+05,1.7E+05,1.8E+05,9.1E+04,1.3E+05,8.5E+04,9.8,7.8,13.6,13.8,16.6,7.8
B166_HILIC,Myristyl sulfate,294.1865,1.98,1.2,0.4,0.8,-0.9,-2.5,-1.6,-0.1,-2.0,-2.0,0.808,1.000,1.000,0.209,0.000,0.073,1.000,0.025,0.033,2.4E+06,1.7E+07,2.8E+06,5.8E+06,1.1E+06,6.1E+06,3.0E+06,2.9E+06,7.2E+06,7.2E+06,5.0E+06,5.1E+06,4.6E+06,5.2E+06,4.3E+06,9.2E+06,1.5E+07,1.1E+07,1.3E+07,2.5E+07,1.7E+07,2.4E+07,1.4E+07,2.7E+07,2.7E+05,3.3E+05,3.4E+05,2.8E+05,3.2E+05,4.4E+05,3.0E+05,32.0,12.3,29.0,25.1,78.6,37.1
B167_HILIC,5'-S-Methyl-5'-thioadenosine,297.0897,4.60,-0.1,0.1,0.1,-0.8,-1.5,-0.7,-1.0,-1.7,-0.7,1.000,1.000,1.000,0.000,0.000,0.001,0.000,0.000,0.002,4.3E+08,4.5E+08,3.6E+08,3.3E+08,3.6E+08,3.0E+08,3.7E+08,3.4E+08,7.9E+08,7.1E+08,6.3E+08,6.5E+08,5.7E+08,6.1E+08,6.8E+08,7.1E+08,1.1E+09,1.0E+09,1.0E+09,9.2E+08,1.2E+09,1.2E+09,1.0E+09,1.2E+09,1.1E+06,6.7E+05,6.2E+05,5.7E+05,8.5E+05,3.4E+05,4.3E+05,13.0,8.6,7.6,14.1,17.5,8.6
B168_HILIC,N2-Methylguanosine,297.1074,9.29,0.2,0.1,-0.5,-2.2,-3.7,-1.5,-2.1,-3.0,-0.9,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.003,7.7E+06,9.0E+06,7.3E+06,8.9E+06,1.0E+07,8.6E+06,6.5E+06,7.8E+06,4.1E+07,3.9E+07,3.5E+07,2.9E+07,3.0E+07,3.4E+07,3.2E+07,3.8E+07,1.5E+08,9.3E+07,1.1E+08,6.1E+07,7.9E+07,7.0E+07,6.9E+07,6.8E+07,5.4E+05,1.6E+06,5.5E+05,1.9E+06,5.7E+05,3.5E+05,3.2E+05,18.7,36.8,12.5,14.3,6.0,20.0
B169_HILIC,N-Acetyl-1-aspartylglutamic acid,304.0907,19.07,0.3,0.1,-0.4,-1.0,0.1,1.1,-0.8,0.8,1.6,1.000,1.000,1.000,0.000,1.000,0.000,0.002,0.002,0.000,1.2E+09,2.0E+09,1.4E+09,1.3E+09,1.3E+09,1.7E+09,1.1E+09,1.5E+09,2.9E+09,3.0E+09,2.4E+09,2.4E+09,2.6E+09,2.7E+09,2.4E+09,2.8E+09,1.3E+09,1.2E+09,1.3E+09,9.3E+08,1.0E+09,8.6E+08,9.2E+08,8.9E+08,2.0E+05,2.0E+05,2.3E+05,1.9E+05,1.7E+05,1.7E+05,1.7E+05,18.3,17.3,9.2,7.9,17.6,8.8
B170_HILIC,Arachidonic acid,304.2402,2.13,0.1,0.1,0.0,2.4,5.0,2.6,2.4,5.2,2.8,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.3E+10,1.4E+10,1.1E+10,1.2E+10,1.1E+10,1.3E+10,1.1E+10,1.2E+10,3.4E+09,3.4E+09,1.9E+09,1.7E+09,2.1E+09,2.7E+09,2.2E+09,2.1E+09,3.7E+08,3.6E+08,3.4E+08,3.0E+08,3.3E+08,5.4E+08,3.7E+08,3.3E+08,1.1E+06,1.0E+06,1.0E+06,9.0E+05,5.9E+05,7.3E+05,1.0E+06,28.8,5.4,29.0,27.4,7.7,5.7
B171_HILIC,"8Z,11Z,14Z-Eicosatrienoic acid",306.2559,2.14,0.2,0.1,-0.1,0.0,1.7,1.7,0.1,2.0,1.9,1.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.8E+08,2.5E+08,1.8E+08,1.8E+08,1.9E+08,2.2E+08,2.0E+08,2.1E+08,2.3E+08,2.6E+08,1.8E+08,1.8E+08,1.7E+08,2.0E+08,2.0E+08,2.0E+08,6.2E+07,5.8E+07,5.5E+07,3.4E+07,6.3E+07,6.2E+07,5.6E+07,5.2E+07,1.7E+05,1.3E+05,1.4E+05,1.2E+05,1.6E+05,1.2E+05,1.5E+05,24.1,6.7,15.6,14.3,13.6,4.3
B172_HILIC,"11(Z),14(Z)-Eicosadienoic acid",308.2713,2.14,0.4,-0.1,-0.2,-0.2,0.9,1.1,0.3,1.5,1.2,1.000,1.000,1.000,1.000,0.000,0.000,0.723,0.000,0.000,4.8E+07,8.2E+07,5.2E+07,5.8E+07,4.8E+07,6.7E+07,6.6E+07,6.4E+07,6.4E+07,6.7E+07,5.1E+07,4.6E+07,5.0E+07,5.0E+07,6.1E+07,5.7E+07,2.7E+07,2.5E+07,2.9E+07,1.9E+07,2.6E+07,3.1E+07,2.7E+07,2.2E+07,1.4E+05,1.3E+05,1.4E+05,1.2E+05,1.7E+05,1.6E+05,1.7E+05,21.2,4.3,16.5,12.3,15.1,16.0
B173_HILIC,N-Acetylneuraminic acid,309.1060,12.39,-0.2,0.4,-0.2,1.7,5.4,3.8,1.1,5.5,4.4,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,6.4E+08,8.7E+08,7.2E+08,5.8E+08,6.8E+08,5.7E+08,6.1E+08,6.1E+08,2.2E+08,3.1E+08,1.9E+08,2.5E+08,2.4E+08,3.3E+08,1.8E+08,2.4E+08,1.5E+07,1.4E+07,1.8E+07,1.2E+07,1.5E+07,1.6E+07,9.4E+06,9.7E+06,4.7E+05,5.0E+05,5.0E+05,4.9E+05,4.7E+05,4.8E+05,4.8E+05,22.6,24.3,14.8,11.6,22.0,6.9
B174_HILIC,14(Z)-Eicosenoic acid,310.2872,2.14,0.5,-0.2,-0.3,1.6,2.0,0.4,2.3,2.8,0.5,1.000,1.000,1.000,0.000,0.000,0.903,0.000,0.000,0.186,1.3E+08,2.1E+08,1.3E+08,1.6E+08,1.1E+08,1.9E+08,1.6E+08,1.8E+08,4.9E+07,4.2E+07,3.4E+07,3.2E+07,2.7E+07,3.2E+07,4.9E+07,4.7E+07,3.1E+07,2.9E+07,3.3E+07,1.9E+07,3.3E+07,3.2E+07,2.9E+07,2.4E+07,1.2E+05,1.8E+05,2.3E+05,1.2E+05,1.9E+05,1.1E+05,1.6E+05,22.2,6.2,19.3,27.2,11.2,15.0
B175_HILIC,4-Dodecylbenzenesulfonic acid,326.1916,1.98,0.9,0.3,-0.5,-0.2,-2.9,-2.7,0.4,-1.5,-1.9,1.000,1.000,1.000,1.000,0.000,0.000,1.000,0.010,0.001,4.9E+07,6.3E+07,3.0E+07,5.7E+07,2.3E+07,3.6E+07,2.5E+07,4.3E+07,3.2E+07,4.8E+07,3.6E+07,3.3E+07,2.6E+07,4.4E+07,3.1E+07,2.5E+07,2.3E+08,1.9E+08,1.1E+08,1.2E+08,2.3E+08,1.6E+08,1.7E+08,7.2E+07,2.7E+06,2.6E+06,2.5E+06,2.6E+06,2.4E+06,2.4E+06,2.2E+06,37.5,30.1,27.6,13.3,24.8,36.6
B176_HILIC,Docosahexaenoic acid,328.2402,2.10,0.1,0.4,-0.1,1.3,2.6,1.3,0.9,2.8,1.8,1.000,0.562,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.9E+09,2.4E+09,1.8E+09,1.7E+09,1.7E+09,2.1E+09,1.9E+09,1.8E+09,7.8E+08,1.3E+09,7.9E+08,9.3E+08,7.2E+08,9.0E+08,6.8E+08,1.1E+09,3.3E+08,3.3E+08,3.1E+08,2.7E+08,2.9E+08,3.0E+08,3.1E+08,2.6E+08,1.4E+05,2.3E+05,3.8E+05,1.1E+05,2.8E+05,2.9E+05,1.9E+05,10.8,4.2,17.0,6.8,14.9,4.3
B177_HILIC,Docosapentaenoic acid,330.2559,2.11,0.4,0.2,-0.1,-0.6,0.2,0.7,-0.3,0.7,1.0,1.000,1.000,1.000,0.553,1.000,0.139,0.939,0.213,0.014,9.1E+07,1.4E+08,8.9E+07,9.1E+07,8.8E+07,1.5E+08,1.0E+08,1.0E+08,1.5E+08,1.9E+08,1.1E+08,1.2E+08,9.5E+07,1.1E+08,2.0E+08,2.6E+08,7.9E+07,7.7E+07,8.8E+07,7.6E+07,8.2E+07,8.5E+07,7.0E+07,6.8E+07,1.2E+05,1.4E+05,1.3E+05,1.3E+05,1.8E+05,1.2E+05,1.7E+05,9.3,9.2,39.8,32.7,24.9,5.8
B178_HILIC,Adrenic acid,332.2715,2.14,0.3,0.2,0.1,0.8,2.1,1.3,0.9,2.4,1.5,1.000,1.000,1.000,0.001,0.000,0.000,0.001,0.000,0.000,2.6E+08,3.7E+08,2.6E+08,2.8E+08,2.2E+08,3.3E+08,3.0E+08,3.2E+08,1.7E+08,2.2E+08,1.4E+08,1.4E+08,1.2E+08,1.5E+08,1.6E+08,2.0E+08,5.6E+07,6.6E+07,5.9E+07,5.4E+07,6.2E+07,7.7E+07,6.3E+07,6.0E+07,1.1E+05,1.3E+05,1.4E+05,1.8E+05,1.6E+05,1.1E+05,1.6E+05,15.1,5.0,21.9,15.3,11.6,13.0
B179_HILIC,Erucamide,337.3345,2.63,1.8,0.8,0.3,-1.4,-4.2,-2.8,-0.4,-2.7,-2.4,1.000,1.000,1.000,0.359,0.000,0.001,1.000,0.000,0.001,1.2E+07,8.6E+07,4.2E+07,6.9E+07,1.3E+07,3.2E+07,1.8E+07,3.8E+07,2.4E+07,8.5E+07,4.7E+07,3.1E+07,3.2E+07,6.6E+07,8.4E+07,7.2E+07,2.4E+08,3.0E+08,2.4E+08,4.0E+08,4.3E+08,6.1E+08,3.2E+08,2.6E+08,6.7E+05,7.3E+05,1.0E+06,7.9E+05,6.5E+05,1.3E+06,4.8E+05,39.5,29.1,35.9,56.5,46.0,65.8
B180_HILIC,"α,α-Trehalose",342.1162,15.63,1.9,0.6,0.1,-1.0,-3.7,-2.8,0.4,-1.9,-2.3,1.000,1.000,1.000,0.978,0.000,0.005,1.000,0.005,0.016,1.1E+07,4.0E+07,6.5E+06,4.6E+07,7.2E+06,1.1E+07,5.2E+06,6.5E+06,1.4E+07,5.1E+07,2.2E+07,1.8E+07,8.4E+06,1.2E+07,1.2E+07,2.2E+07,9.1E+07,8.9E+07,6.9E+07,1.0E+08,9.6E+07,9.2E+07,9.2E+07,2.1E+08,1.1E+05,9.8E+04,1.5E+05,9.8E+04,1.1E+05,1.0E+05,7.4E+04,47.5,14.1,66.3,40.1,76.9,31.7
B181_HILIC,Palmitoylcarnitine,399.3350,3.29,0.5,0.2,-0.2,1.5,0.8,-0.7,1.7,1.4,-0.3,1.000,1.000,1.000,0.000,0.045,0.188,0.000,0.001,1.000,3.8E+08,6.0E+08,4.1E+08,5.9E+08,4.1E+08,4.0E+08,4.1E+08,5.4E+08,2.1E+08,2.4E+08,1.2E+08,1.3E+08,9.8E+07,1.4E+08,1.8E+08,2.0E+08,2.6E+08,2.0E+08,2.3E+08,1.8E+08,2.5E+08,2.6E+08,1.9E+08,2.3E+08,3.6E+05,3.6E+05,2.9E+05,2.8E+05,3.0E+05,2.3E+05,3.1E+05,17.5,13.5,29.7,34.0,17.4,3.7
B182_HILIC,Palmitoylcarnitine,399.3350,4.38,0.3,0.1,-0.2,1.4,0.7,-0.6,1.6,1.3,-0.4,1.000,1.000,1.000,0.000,0.038,0.112,0.000,0.000,0.876,1.3E+08,1.7E+08,1.3E+08,2.0E+08,1.3E+08,1.5E+08,1.4E+08,1.6E+08,7.3E+07,7.6E+07,4.3E+07,4.4E+07,3.2E+07,4.5E+07,5.9E+07,6.1E+07,7.4E+07,6.0E+07,8.4E+07,6.6E+07,8.3E+07,8.4E+07,7.1E+07,7.1E+07,2.2E+05,1.7E+05,2.7E+05,1.5E+05,2.0E+05,1.4E+05,2.5E+05,14.7,8.4,26.9,34.3,13.1,3.8
B183_HILIC,Uridine 5'-diphosphate (UDP),404.0022,18.51,0.0,0.0,0.0,-2.6,-5.6,-3.0,-2.6,-5.6,-3.0,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,5.6E+06,9.8E+06,8.1E+06,4.9E+06,6.4E+06,7.5E+06,8.7E+06,6.7E+06,4.0E+07,4.7E+07,4.7E+07,3.8E+07,2.8E+07,2.5E+07,4.9E+07,4.9E+07,3.1E+08,3.5E+08,3.7E+08,2.8E+08,3.5E+08,3.2E+08,3.3E+08,3.7E+08,4.5E+05,3.7E+05,4.3E+05,2.6E+05,2.4E+05,2.4E+05,2.2E+05,11.6,7.4,28.0,23.7,28.1,20.0
B184_HILIC,Adenosine diphosphate (ADP),427.0296,17.32,-0.2,-0.2,0.0,-0.6,-2.3,-1.7,-0.6,-2.4,-1.9,1.000,1.000,1.000,0.731,0.000,0.000,1.000,0.000,0.000,2.4E+08,4.4E+08,2.9E+08,2.4E+08,2.7E+08,2.5E+08,2.9E+08,2.4E+08,4.4E+08,4.4E+08,3.9E+08,3.3E+08,2.5E+08,2.4E+08,4.5E+08,3.9E+08,9.7E+08,1.2E+09,1.7E+09,1.2E+09,1.5E+09,1.4E+09,1.3E+09,1.5E+09,1.6E+06,1.8E+06,8.8E+05,1.6E+06,1.4E+06,1.4E+06,8.4E+05,13.0,22.8,24.2,24.4,33.6,9.3
B185_HILIC,Glycerophospho-N-palmitoyl ethanolamine,453.2856,4.33,1.0,0.1,-0.2,-1.1,-1.5,-0.4,-0.2,-0.4,-0.2,0.055,1.000,1.000,0.000,0.000,0.072,0.681,0.209,1.000,2.1E+07,4.2E+07,2.2E+07,4.3E+07,2.1E+07,4.0E+07,2.1E+07,3.8E+07,5.2E+07,6.8E+07,4.1E+07,4.2E+07,3.0E+07,4.3E+07,4.7E+07,5.3E+07,5.8E+07,5.1E+07,6.1E+07,5.4E+07,6.4E+07,5.7E+07,5.4E+07,5.3E+07,3.5E+05,3.2E+05,4.8E+05,2.7E+05,3.0E+05,2.8E+05,2.9E+05,4.9,7.6,23.8,22.4,5.3,3.0
B186_HILIC,Uridine 5'-diphosphoglucuronic acid,580.0345,20.93,0.1,-0.2,0.0,-1.6,-2.1,-0.5,-1.3,-2.0,-0.7,1.000,1.000,1.000,0.000,0.000,0.135,0.000,0.000,0.065,8.4E+06,1.6E+07,1.3E+07,1.4E+07,1.2E+07,9.6E+06,1.2E+07,1.2E+07,4.5E+07,3.5E+07,3.9E+07,3.1E+07,2.5E+07,2.8E+07,3.3E+07,3.3E+07,5.3E+07,6.9E+07,6.4E+07,3.6E+07,5.2E+07,5.5E+07,4.9E+07,5.2E+07,1.5E+05,1.6E+05,1.6E+05,1.6E+05,1.6E+05,1.7E+05,1.6E+05,25.4,12.5,9.1,23.2,21.7,17.3
B187_HILIC,Guanosine 5'-diphospho-D-mannose,605.0774,19.93,-0.1,0.0,0.0,1.5,1.5,-0.1,1.5,1.4,-0.1,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,3.6E+07,6.0E+07,4.6E+07,4.6E+07,4.6E+07,4.1E+07,4.8E+07,4.3E+07,1.7E+07,1.6E+07,1.7E+07,1.6E+07,1.3E+07,1.5E+07,1.5E+07,1.6E+07,1.9E+07,2.0E+07,1.8E+07,1.2E+07,1.6E+07,1.6E+07,1.3E+07,1.6E+07,1.8E+05,1.8E+05,1.7E+05,1.7E+05,1.6E+05,1.5E+05,1.7E+05,21.1,15.2,2.6,13.3,17.6,12.0
B188_HILIC,Palmitoyl sphingomyelin,702.5674,3.11,0.9,0.6,0.4,-0.6,-3.4,-2.9,-0.3,-3.0,-2.7,1.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.2E+07,6.8E+06,1.2E+07,2.5E+07,1.2E+07,2.3E+07,9.1E+06,2.1E+07,1.7E+07,2.9E+07,1.8E+07,2.4E+07,1.0E+07,1.7E+07,2.5E+07,4.1E+07,1.1E+08,7.9E+07,1.4E+08,1.8E+08,1.2E+08,2.7E+08,1.4E+08,1.7E+08,1.6E+05,2.6E+05,4.0E+05,2.3E+05,5.4E+05,3.9E+05,4.6E+05,45.3,13.1,36.4,34.1,43.8,12.6
C189_HILIC,ACETONE CYANOHYDRIN,85.0528,14.56,-0.5,0.3,-0.1,-3.1,-3.8,-0.7,-4.0,-4.2,-0.2,1.000,1.000,1.000,0.000,0.000,0.107,0.000,0.000,1.000,6.4E+06,7.4E+06,8.4E+06,4.2E+06,7.7E+06,4.3E+06,4.3E+06,5.5E+06,4.6E+07,7.3E+07,7.0E+07,8.1E+07,5.9E+07,7.4E+07,6.4E+07,8.0E+07,1.0E+08,9.3E+07,1.1E+08,9.0E+07,9.0E+07,1.1E+08,7.4E+07,8.8E+07,7.9E+06,5.1E+05,4.7E+05,4.7E+05,7.6E+06,7.9E+06,8.0E+06,9.4,16.6,5.3,16.8,27.9,26.9
C190_HILIC,Phosphoramidic acid,96.9930,27.27,0.0,0.0,-0.2,0.5,0.1,-0.4,0.5,0.3,-0.1,1.000,1.000,1.000,0.005,1.000,0.039,0.001,0.027,0.475,1.3E+08,1.6E+08,1.3E+08,1.3E+08,1.3E+08,1.2E+08,1.2E+08,1.3E+08,9.3E+07,9.5E+07,9.2E+07,7.6E+07,8.4E+07,9.1E+07,9.0E+07,9.3E+07,1.2E+08,1.2E+08,1.3E+08,9.0E+07,1.2E+08,1.1E+08,1.0E+08,9.7E+07,2.3E+05,3.0E+05,2.1E+05,2.1E+05,4.0E+05,1.7E+05,2.1E+05,13.8,8.9,9.8,4.8,13.6,2.0
