genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Lpgat1	-0.7175573	226856	Q3UZK0	E9QL80	0.7573695747481056
Lpgat1	-0.7175573	226856	Q3UZK0	Q91YX5	0.7573695747481056
Lpgat1	-0.7175573	226856	Q6A0A4	E9QL80	0.7573695747481056
Lpgat1	-0.7175573	226856	Q6A0A4	Q91YX5	0.7573695747481056
Atp5c1	-0.34295657	11949	Q91VR2		
Atp5c1	-0.34295657	11949	A2AKU9		
Atp5c1	-0.34295657	11949	Q3UD06		
Atp5c1	-0.34295657	11949	Q8C2Q8		
Pnpla7	-0.6084703	241274	A2AJ88		
Ptges2	-1.3980572	96979	Q8BWM0	Q8BWM0	0.1686842050478625
