UNIPROT:Q8BVE3	#abc8fd	W10
UNIPROT:A0A0A6YX18	#abc8fd	W10
UNIPROT:P49681	#779af7	W10
UNIPROT:Q9ERE3	#ec8165	W10
UNIPROT:Q9D881	#4a63d3	W10
UNIPROT:Q9EPW0	#d2dbe8	W10
UNIPROT:A0A0R4J0Q2	#d2dbe8	W10
UNIPROT:D3YUD3	#d2dbe8	W10
UNIPROT:D3YUL8	#d2dbe8	W10
UNIPROT:D3Z230	#d2dbe8	W10
UNIPROT:E9Q9A0	#d2dbe8	W10
UNIPROT:E9QAD0	#d2dbe8	W10
UNIPROT:F6V2U0	#d2dbe8	W10
UNIPROT:Q3UEQ1	#d2dbe8	W10
UNIPROT:D3Z7P3	#f49a7b	W10
UNIPROT:P49442	#bfd3f6	W10
UNIPROT:Q8QZS1	#cfdaea	W10
UNIPROT:Q499X9	#f7aa8c	W10
UNIPROT:A2RT28	#f7aa8c	W10
UNIPROT:Q9CQZ6	#9ebeff	W10
UNIPROT:Q91VD9	#abc8fd	W10
UNIPROT:Q01147	#e0dbd8	W10
UNIPROT:Q543W0	#e0dbd8	W10
UNIPROT:Q547S9	#e0dbd8	W10
UNIPROT:Q62347	#e0dbd8	W10
UNIPROT:O88844	#3b4cc0	W10
UNIPROT:Q9Z1T6	#f5a081	W10
UNIPROT:D3Z5N5	#f5a081	W10
UNIPROT:Q8VEE0	#dddcdc	W10
UNIPROT:B2KGF0	#dddcdc	W10
UNIPROT:O89112	#a2c1ff	W10
UNIPROT:Q8C196	#688aef	W10
UNIPROT:Q9CWJ9	#92b4fe	W10
UNIPROT:Q8K3R3	#c1d4f4	W10
UNIPROT:D6RGN2	#c1d4f4	W10
UNIPROT:Q9DC29	#3b4cc0	W10
UNIPROT:Q9WUA2	#94b6ff	W10
UNIPROT:Q9CZU5	#94b6ff	W10
UNIPROT:P35569	#cc403a	W10
UNIPROT:Q543V3	#cc403a	W10
UNIPROT:O55057	#7597f6	W10
UNIPROT:Q3TDQ8	#7597f6	W10
UNIPROT:Q61839	#3f53c6	W10
UNIPROT:Q544K5	#3f53c6	W10
UNIPROT:E9PUQ8	#d8dce2	W10
UNIPROT:Q99LC3	#7597f6	W10
UNIPROT:P97930	#6c8ff1	W10
UNIPROT:Q6GRA7	#6c8ff1	W10
UNIPROT:Q922B2	#7699f6	W10
UNIPROT:Q8BJY7	#7699f6	W10
UNIPROT:E9QAN8	#94b6ff	W10
UNIPROT:A7MCT6	#da5a49	W10
UNIPROT:Q6Q477	#d3dbe7	W10
UNIPROT:D1FNM8	#d3dbe7	W10
UNIPROT:D1FNM9	#d3dbe7	W10
UNIPROT:E9Q828	#d3dbe7	W10
UNIPROT:F7AAP4	#d3dbe7	W10
UNIPROT:Q3UPA8	#d3dbe7	W10
UNIPROT:Q60612	#ecd3c5	W10
UNIPROT:Q3URG8	#ecd3c5	W10
UNIPROT:Q3UYG0	#ecd3c5	W10
UNIPROT:Q6AXD8	#ecd3c5	W10
UNIPROT:Q8CAH1	#ecd3c5	W10
UNIPROT:O08849	#465ecf	W10
UNIPROT:Q8BNJ3	#e7745b	W10
UNIPROT:Q5HZI3	#e7745b	W10
UNIPROT:P15105	#c0d4f5	W10
UNIPROT:Q8BIP0	#97b8ff	W10
UNIPROT:O08709	#5f7fe8	W10
UNIPROT:D3Z0Y2	#5f7fe8	W10
UNIPROT:Q6GT24	#5f7fe8	W10
UNIPROT:Q3UMG6	#dcdddd	W10
UNIPROT:Q8BUH2	#dcdddd	W10
UNIPROT:P14094	#cdd9ec	W10
UNIPROT:Q3TV47	#cdd9ec	W10
UNIPROT:Q545P0	#cdd9ec	W10
UNIPROT:Q99PM9	#abc8fd	W10
UNIPROT:Q543C2	#abc8fd	W10
UNIPROT:Q9JLJ2	#9dbdff	W10
UNIPROT:Q3TMT4	#9dbdff	W10
UNIPROT:Q3U367	#9dbdff	W10
UNIPROT:Q3V1N7	#9dbdff	W10
UNIPROT:Q9CPU4	#4961d2	W10
UNIPROT:Q9CZB0	#a5c3fe	W10
UNIPROT:Q91WD5	#6a8bef	W10
UNIPROT:P51175	#6a8bef	W10
UNIPROT:Q3UQA3	#6a8bef	W10
UNIPROT:Q6PIE5	#c6d6f1	W10
