	logFC	metadata_r_id	ec_number
13DAMPPOX_pos	1.0164971024488687	13DAMPPOX	1.4.3.6
2DR1PP_pos	1.0110309356475213	2DR1PP	3.1.3.10
2HBO_neg	1.009522812509929	2HBO	1.1.1.27
2HBO_pos	0.9991636545925812	2HBO	1.1.1.27
2OXOADOXm_pos	0.9979164016601408	2OXOADOXm	2.3.1.61
34DHOXPEGOX_pos	1.0030270393537108	34DHOXPEGOX	1.1.1.1
34DHPLACOX_NADP__neg	1.03804128162221	34DHPLACOX_NADP_	1.2.1.5
34DHPLACOX_pos	1.03804128162221	34DHPLACOX	1.2.1.5
34DHXMANDACOX_NADP__neg	1.03804128162221	34DHXMANDACOX_NADP_	1.2.1.5
34DHXMANDACOX_pos	1.03804128162221	34DHXMANDACOX	1.2.1.5
34HPPOR_pos	1.006524287013388	34HPPOR	1.13.11.27
3AIBTm_pos	1.006119318300332	3AIBTm	2.6.19.4
3DSPHR_pos	1.022980950549212	3DSPHR	1.1.1.102
3HAO_pos	1.000068556757092	3HAO	1.13.11.6
3HBCDm_pos	1.0003670364687174	3HBCDm	4.2.1.55
3HBCOAHLm_pos	1.000085227574025	3HBCOAHLm	3.1.2.4
3HLYTCL_pos	0.9973605775704049	3HLYTCL	4.1.1.28
3MOX4HOXPGALDOX_NADP__neg	1.03804128162221	3MOX4HOXPGALDOX_NADP_	1.2.1.5
3MOX4HOXPGALDOX_pos	1.03804128162221	3MOX4HOXPGALDOX	1.2.1.5
3SALACBOXL_pos	1.0019765096505435	3SALACBOXL	4.1.1.15
3SALATAi_pos	1.0026204352059627	3SALATAi	2.6.1.1
3SALATAim_pos	1.0095971455294965	3SALATAim	2.6.1.1
41R1H2MAE12BOOX_pos	1.0001875705871353	41R1H2MAE12BOOX	1.4.3.4
41R2A1H12BOOX_pos	1.003027039353711	41R2A1H12BOOX	1.4.3.4
4HGLSDm_pos	1.0013230894453926	4HGLSDm	1.5.1.12
4HOXPACDOX_NADP__pos	1.0005527575387947	4HOXPACDOX_NADP_	1.2.1.5
4NPHSULT_pos	1.0005247866330278	4NPHSULT	2.8.2.1
5ADTSTSTERONESULT_pos	0.9879186332039083	5ADTSTSTERONESULT	2.8.2.2
5HLTDL_pos	0.9985945635127044	5HLTDL	4.1.1.28
5HOXINDACTO2OX_pos	0.985741695054435	5HOXINDACTO2OX	1.2.3.1
A4GALTg_pos	1.003862965205728	A4GALTg	2.4.1.228
AACOAT_pos	1.0234310411056429	AACOAT	6.2.1.16
AACTOOR_pos	1.072358197750761	AACTOOR	1.4.3.6
AATAi_neg	1.0097045647971756	AATAi	2.6.1.39
AATAi_pos	0.9995929659404249	AATAi	2.6.1.39
ABTArm_neg	1.0158558851453663	ABTArm	2.6.19.4
ABTArm_pos	1.0091993167260025	ABTArm	2.6.19.4
ABTD_neg	1.0184940138975838	ABTD	1.1.1.12
ABTD_pos	1.0047566144464048	ABTD	1.1.1.12
ABUTD_pos	1.0245078027679622	ABUTD	1.2.1.19
ACACT10m_neg	1.0001762338950189	ACACT10m	2.3.1.9
ACACT10m_pos	1.0007182097875957	ACACT10m	2.3.1.9
ACACT1r_neg	1.100648092203259	ACACT1r	2.3.1.9
ACACT1r_pos	1.040426052893646	ACACT1r	2.3.1.9
ACACT1rm_pos	1.0744036613002341	ACACT1rm	2.3.1.9
ACACT1x_pos	1.0869837716387085	ACACT1x	2.3.1.9
ACACT4p_pos	0.9227630328256102	ACACT4p	2.3.1.16
ACACT5p_pos	0.9227630328256188	ACACT5p	2.3.1.16
ACACT6p_pos	0.9227630328256102	ACACT6p	2.3.1.16
ACACT7p_pos	0.9229363080400903	ACACT7p	2.3.1.16
ACCOACm_pos	1.0132500290216355	ACCOACm	6.4.1.2
ACCOAL_pos	1.0023380296610167	ACCOAL	6.2.1.13
ACCOALm_pos	0.9818545942336968	ACCOALm	6.2.1.17
ACGAM2E_neg	0.9951869807657747	ACGAM2E	5.1.3.8
